stock_code,code,date_yyyymmdd,engine,A_SIG,B_SIG,C_SIG,target_pct,risk_pct_display,fail_price,engine_code,satellite,yield_to_AB,entry_price,risk_budget,exit_reason
002400.SZ,002400,20241021,A,1,0,0,11.91587757716917,20.980410245150573,4.401391149345113,1,0,0,5.57,0.025,高成熟成本停滞
002474.SZ,002474,20241021,B,0,1,0,20.0,10.110344827586193,5.2136000000000005,2,0,0,5.8,0.025,证明后结构回吐
002805.SZ,002805,20241021,B,0,1,0,20.0,9.063794531897273,10.975999999999999,2,0,0,12.07,0.025,证明后结构回吐
002915.SZ,002915,20241021,B,0,1,0,20.0,8.217803030303038,9.6922,2,0,0,10.56,0.025,证明后结构回吐
603232.SH,603232,20241021,B,0,1,0,20.0,11.996908809891815,11.387599999999999,2,0,0,12.94,0.025,证明后结构回吐
605378.SH,605378,20241021,A,1,0,0,15.472961351559105,16.157217375509646,9.734147062703329,1,0,0,11.61,0.025,滞败
002471.SZ,002471,20241022,A,1,0,0,13.722448979591823,18.218322427126733,2.0118292682926824,1,0,0,2.46,0.025,高成熟成本停滞
600222.SH,600222,20241022,A,1,0,0,14.460771814346579,17.288150536472347,4.243117877478968,1,0,0,5.13,0.025,滞败
600513.SH,600513,20241022,A,1,0,0,13.601118089967176,18.380841806263838,7.427343395629991,1,0,0,9.1,0.025,高成熟成本停滞
600679.SH,600679,20241022,A,1,0,0,16.377668209189565,15.264688282042748,8.922628323900899,1,0,0,10.53,0.025,趋势破坏
601061.SH,601061,20241023,A,1,0,0,16.768124849683332,14.909240135143753,6.356279761904761,1,0,0,7.47,0.025,滞败
002995.SZ,002995,20241024,A,1,0,0,11.124995932240935,22.47191832902018,14.800110790990047,1,0,0,19.09,0.025,高成熟成本停滞
002843.SZ,002843,20241028,B,0,1,0,20.0,9.015184381778752,16.7776,2,0,0,18.44,0.025,证明后结构回吐
603306.SH,603306,20241031,B,0,1,0,20.0,11.9562476826103,23.7454,2,0,0,26.97,0.025,证明后结构回吐
000421.SZ,000421,20241107,C,0,0,1,11.213736672452265,13.376451077943619,5.2234,3,1,1,6.03,0.015,高成熟成本停滞
002159.SZ,002159,20241107,C,0,0,1,14.56787833827894,10.296626352641624,14.092400000000001,3,1,1,15.71,0.015,MA20破坏
002174.SZ,002174,20241111,B,0,1,0,20.0,5.646511627906992,10.142999999999999,2,0,0,10.75,0.025,首回踩失效
002351.SZ,002351,20241111,B,0,1,0,20.0,12.175925925925924,13.279,2,0,0,15.12,0.025,证明后结构回吐
301080.SZ,301080,20241111,C,0,0,1,9.527274157391751,15.744272445820428,27.2146,3,1,1,32.3,0.015,滞败
603002.SH,603002,20241111,C,0,0,1,12.460340351889247,12.03819444444444,5.0666,3,1,1,5.76,0.015,高成熟成本停滞
002728.SZ,002728,20241112,C,0,0,1,11.657787527420862,12.866935483870979,8.6436,3,1,1,9.92,0.015,横盘结构失效
603230.SH,603230,20241112,C,0,0,1,13.869324142065034,10.81523500810373,11.0054,3,1,1,12.34,0.015,高成熟成本停滞
